Date,Véhicule,Immatriculation,Type,Distance Jour (km),Carburant Jour (L),Arrêts Totaux,Excès Vitesse,Freinages Brusques,Score Moyen,Nb Trajets,Conso Jour (L/100km)
2025-12-29,SOC-003,DK-5264-JU,Camion Ciment,181.22,56.97,9,2,1,80.0,2,31.44
2025-12-29,SOC-004,DK-7162-IQ,Camion Ciment,537.77,153.91,10,5,3,82.0,5,28.62
2025-12-29,SOC-006,DK-2604-SY,Chariot Élévateur,116.02,20.58,2,5,0,100.0,1,17.74
2025-12-29,SOC-007,DK-8504-WU,Camion Ciment,418.36,115.64,13,0,14,89.0,5,27.64
2025-12-29,SOC-009,DK-9129-DE,Camion Benne,205.19,66.21,5,2,0,84.0,2,32.27
2025-12-29,SOC-010,DK-3338-CE,Chariot Élévateur,231.23,43.64,8,0,12,93.0,3,18.87
2025-12-29,SOC-011,DK-7433-NO,Véhicule Léger,243.65,27.54,11,2,0,87.0,5,11.3
2025-12-29,SOC-012,DK-3068-NW,Camion Benne,58.79,20.48,3,0,0,85.0,1,34.84
2025-12-29,SOC-013,DK-8777-SQ,Chariot Élévateur,156.06,29.53,10,2,10,90.0,3,18.92
2025-12-30,SOC-001,DK-2701-OW,Chariot Élévateur,238.82,41.81,1,0,5,66.0,2,17.51
2025-12-30,SOC-002,DK-4406-ZL,Véhicule Léger,301.68,29.24,8,5,7,86.0,4,9.69
2025-12-30,SOC-003,DK-5264-JU,Camion Ciment,238.87,68.93,16,4,11,80.0,5,28.86
2025-12-30,SOC-004,DK-7162-IQ,Camion Ciment,204.22,60.73,4,0,3,66.0,2,29.74
2025-12-30,SOC-005,DK-6497-PB,Véhicule Léger,65.07,7.29,1,0,3,80.0,1,11.2
2025-12-30,SOC-006,DK-2604-SY,Chariot Élévateur,114.35,18.97,4,1,0,65.0,2,16.59
2025-12-30,SOC-007,DK-8504-WU,Camion Ciment,244.91,74.96,13,4,0,83.0,4,30.61
2025-12-30,SOC-008,DK-8462-JA,Véhicule Léger,286.4,30.31,7,0,11,79.0,3,10.58
2025-12-30,SOC-009,DK-9129-DE,Camion Benne,217.33,68.62,16,10,5,82.0,4,31.57
2025-12-30,SOC-010,DK-3338-CE,Chariot Élévateur,294.22,52.73,3,3,7,97.0,3,17.92
2025-12-30,SOC-011,DK-7433-NO,Véhicule Léger,139.07,14.72,0,0,0,97.0,1,10.58
2025-12-30,SOC-013,DK-8777-SQ,Chariot Élévateur,182.64,31.32,4,5,8,80.0,3,17.15
2025-12-30,SOC-014,DK-6710-OT,Camion Benne,262.73,87.54,10,0,8,87.0,3,33.32
2025-12-31,SOC-001,DK-2701-OW,Chariot Élévateur,236.48,44.03,9,7,13,71.0,4,18.62
2025-12-31,SOC-002,DK-4406-ZL,Véhicule Léger,132.69,14.33,6,5,0,90.0,2,10.8
2025-12-31,SOC-003,DK-5264-JU,Camion Ciment,320.42,98.06,8,0,0,77.0,3,30.6
2025-12-31,SOC-006,DK-2604-SY,Chariot Élévateur,306.57,53.48,9,0,12,76.0,5,17.44
2025-12-31,SOC-007,DK-8504-WU,Camion Ciment,105.8,29.95,3,0,7,69.0,1,28.31
2025-12-31,SOC-008,DK-8462-JA,Véhicule Léger,439.94,45.54,15,4,13,88.0,5,10.35
2025-12-31,SOC-009,DK-9129-DE,Camion Benne,184.4,56.51,5,0,0,94.0,2,30.65
2025-12-31,SOC-011,DK-7433-NO,Véhicule Léger,325.55,32.42,9,0,15,77.0,4,9.96
2025-12-31,SOC-012,DK-3068-NW,Camion Benne,414.61,134.68,10,1,1,79.0,5,32.48
2025-12-31,SOC-014,DK-6710-OT,Camion Benne,143.78,43.55,11,0,6,85.0,3,30.29
2025-12-31,SOC-015,DK-3180-MJ,Camion Benne,202.66,68.09,5,0,0,80.0,2,33.6
2026-01-01,SOC-001,DK-2701-OW,Chariot Élévateur,256.47,47.83,6,0,3,74.0,4,18.65
2026-01-01,SOC-002,DK-4406-ZL,Véhicule Léger,494.62,48.91,13,3,6,79.0,5,9.89
2026-01-01,SOC-003,DK-5264-JU,Camion Ciment,28.03,9.72,1,3,6,77.0,1,34.68
2026-01-01,SOC-005,DK-6497-PB,Véhicule Léger,297.21,27.87,8,3,11,75.0,3,9.38
2026-01-01,SOC-006,DK-2604-SY,Chariot Élévateur,140.65,27.26,3,0,0,65.0,1,19.38
2026-01-01,SOC-008,DK-8462-JA,Véhicule Léger,338.6,35.03,17,0,18,86.0,5,10.35
2026-01-01,SOC-009,DK-9129-DE,Camion Benne,280.81,91.74,13,5,7,79.0,3,32.67
2026-01-01,SOC-010,DK-3338-CE,Chariot Élévateur,122.78,22.08,10,2,1,70.0,2,17.98
2026-01-01,SOC-011,DK-7433-NO,Véhicule Léger,179.47,15.98,6,4,0,82.0,2,8.9
2026-01-01,SOC-013,DK-8777-SQ,Chariot Élévateur,212.54,40.5,8,5,4,79.0,3,19.06
2026-01-01,SOC-014,DK-6710-OT,Camion Benne,90.54,25.38,5,0,8,87.0,1,28.03
2026-01-01,SOC-015,DK-3180-MJ,Camion Benne,273.34,82.85,2,7,6,78.0,4,30.31
2026-01-02,SOC-002,DK-4406-ZL,Véhicule Léger,235.48,23.32,9,0,18,72.0,4,9.9
2026-01-02,SOC-005,DK-6497-PB,Véhicule Léger,316.23,32.22,7,5,2,76.0,4,10.19
2026-01-02,SOC-006,DK-2604-SY,Chariot Élévateur,64.15,11.05,4,0,0,71.0,1,17.23
2026-01-02,SOC-007,DK-8504-WU,Camion Ciment,126.93,39.92,9,0,3,86.0,2,31.45
2026-01-02,SOC-011,DK-7433-NO,Véhicule Léger,329.46,29.41,9,4,8,78.0,4,8.93
2026-01-02,SOC-012,DK-3068-NW,Camion Benne,435.78,128.88,20,2,13,85.0,5,29.57
2026-01-02,SOC-013,DK-8777-SQ,Chariot Élévateur,399.78,69.27,7,2,10,79.0,5,17.33
2026-01-02,SOC-014,DK-6710-OT,Camion Benne,248.09,70.19,10,0,15,82.0,3,28.29
2026-01-02,SOC-015,DK-3180-MJ,Camion Benne,211.47,62.0,11,0,1,70.0,3,29.32
2026-01-03,SOC-001,DK-2701-OW,Chariot Élévateur,226.68,40.21,7,0,1,72.0,2,17.74
2026-01-03,SOC-002,DK-4406-ZL,Véhicule Léger,228.72,23.53,11,0,6,75.0,3,10.29
2026-01-03,SOC-004,DK-7162-IQ,Camion Ciment,189.12,60.07,6,3,9,76.0,3,31.76
2026-01-03,SOC-006,DK-2604-SY,Chariot Élévateur,334.34,55.98,9,9,4,79.0,4,16.74
2026-01-03,SOC-008,DK-8462-JA,Véhicule Léger,24.63,2.62,3,0,0,74.0,1,10.64
2026-01-03,SOC-009,DK-9129-DE,Camion Benne,221.81,60.96,7,5,8,88.0,2,27.48
2026-01-03,SOC-010,DK-3338-CE,Chariot Élévateur,276.49,49.31,5,3,0,76.0,4,17.83
2026-01-03,SOC-011,DK-7433-NO,Véhicule Léger,295.88,27.42,8,1,7,75.0,4,9.27
2026-01-03,SOC-012,DK-3068-NW,Camion Benne,175.92,49.68,2,0,3,68.0,2,28.24
2026-01-03,SOC-014,DK-6710-OT,Camion Benne,127.4,38.56,8,0,0,73.0,2,30.27
2026-01-03,SOC-015,DK-3180-MJ,Camion Benne,104.78,27.61,4,0,5,76.0,2,26.35
2026-01-04,SOC-001,DK-2701-OW,Chariot Élévateur,210.12,37.05,7,2,3,78.0,2,17.63
2026-01-04,SOC-002,DK-4406-ZL,Véhicule Léger,418.59,42.01,9,8,0,95.0,5,10.04
2026-01-04,SOC-003,DK-5264-JU,Camion Ciment,350.2,101.9,15,7,7,76.0,5,29.1
2026-01-04,SOC-004,DK-7162-IQ,Camion Ciment,146.99,41.27,1,1,3,68.0,1,28.08
2026-01-04,SOC-005,DK-6497-PB,Véhicule Léger,490.36,48.0,4,3,9,73.0,4,9.79
2026-01-04,SOC-008,DK-8462-JA,Véhicule Léger,108.77,12.58,2,0,5,87.0,1,11.57
2026-01-04,SOC-010,DK-3338-CE,Chariot Élévateur,149.03,28.21,1,0,7,76.0,1,18.93
2026-01-04,SOC-012,DK-3068-NW,Camion Benne,78.7,23.88,4,0,0,77.0,1,30.34
2026-01-04,SOC-013,DK-8777-SQ,Chariot Élévateur,120.05,18.67,2,0,0,76.0,2,15.55
2026-01-04,SOC-014,DK-6710-OT,Camion Benne,41.13,11.59,3,0,0,80.0,1,28.18
2026-01-04,SOC-015,DK-3180-MJ,Camion Benne,335.46,95.94,16,0,14,82.0,4,28.6
